env,episode,return,epsilon
8,17,40.342587776184125,0.01
12,17,29.227242012023922,0.01
13,15,37.07217416763308,0.01
15,16,39.72617317199717,0.01
3,16,72.97032997131356,0.01
6,16,122.33149803161619,0.01
7,15,10.929546356201197,0.01
1,17,98.29657222747807,0.01
13,16,16.546020965576183,0.01
10,15,36.46767570495608,0.01
5,15,82.42461650848396,0.01
16,16,98.78536903381344,0.01
15,17,54.81472942352292,0.01
12,18,54.215860252380345,0.01
2,18,112.19808647155766,0.01
1,18,40.379853439331065,0.01
17,16,120.6392190933228,0.01
7,16,51.75127319335937,0.01
11,16,166.5235050201415,0.01
0,13,63.93728179931642,0.01
3,17,90.39963502883911,0.01
12,19,39.194987983703605,0.01
4,17,116.92462200164806,0.01
14,15,168.02099174499503,0.01
16,17,86.32120220184332,0.01
9,17,97.21686710357679,0.01
8,18,100.6204810905457,0.01
1,19,81.27436088562014,0.01
5,16,54.902804985046394,0.01
18,19,60.26061363220221,0.01
6,17,60.6303194046021,0.01
19,15,-2.5389762878417907,0.01
10,16,87.93423622131357,0.01
5,17,8.267966156005862,0.01
14,16,103.10570114135753,0.01
4,18,33.22184436798094,0.01
8,19,18.608074302673334,0.01
13,17,41.56710586547851,0.01
1,20,72.04472457885753,0.01
7,17,45.833942184448304,0.01
12,20,32.845051536560064,0.01
15,18,90.08453216552743,0.01
6,18,96.99477203369145,0.01
2,19,97.59798164367683,0.01
17,17,22.81121749877931,0.01
12,21,27.97948154449464,0.01
8,20,28.408216514587416,0.01
1,21,21.74508174896241,0.01
3,18,52.26760711669929,0.01
11,17,26.394802474975556,0.01
0,14,79.9485088348391,0.01
12,22,17.09877262115479,0.01
1,22,40.9401190185547,0.01
10,17,124.29038351058962,0.01
16,18,140.36690101623495,0.01
9,18,34.91345863342285,0.01
3,19,13.636721153259296,0.01
4,19,103.85838706970226,0.01
2,20,63.190775756835954,0.01
15,19,72.47047008514402,0.01
18,20,80.68432464599624,0.01
17,18,94.12439197540289,0.01
19,16,67.47834323883056,0.01
6,19,115.77487823486335,0.01
12,23,45.67118442535401,0.01
7,18,44.540114822387714,0.01
1,23,45.18905109405517,0.01
13,18,104.41396615982059,0.01
16,19,26.02693157196044,0.01
11,18,93.35644338607798,0.01
10,18,26.276954231262202,0.01
3,20,26.725298233032248,0.01
5,18,0.5739048004150367,0.01
4,20,86.79247524261478,0.01
3,21,15.020657920837403,0.01
14,17,56.10596656799323,0.01
10,19,16.280887298584,0.01
9,19,46.365999660491994,0.01
7,19,49.23198223114012,0.01
2,21,60.97893932342535,0.01
12,24,123.8614996719361,0.01
15,20,105.40857894897476,0.01
8,21,147.08598327636702,0.01
13,19,135.79947124481208,0.01
0,15,68.17689590454114,0.01
14,18,79.26953239440923,0.01
10,20,97.80872581481934,0.01
5,19,168.67616989135738,0.01
15,21,83.2072100448609,0.01
12,25,75.2427810287476,0.01
13,20,31.94485969543458,0.01
0,16,44.40693336486817,0.01
2,22,95.66729911804198,0.01
6,20,122.98044273376473,0.01
18,21,31.768851470947375,0.01
11,19,63.222625732421925,0.01
7,20,147.5568144607544,0.01
17,19,33.03345413208011,0.01
19,17,77.66108474731445,0.01
1,24,48.787528228759854,0.01
16,20,81.12181739807147,0.01
14,19,81.34483531951906,0.01
12,26,46.66414775848391,0.01
5,20,98.58158088684088,0.01
4,21,106.8094486236573,0.01
7,21,76.57170806884768,0.01
3,22,69.73536376953129,0.01
